"period","","price_w","area_m2"
"7","古华新村 2室1厅 81.24平米","171","81.24"
"93","古华新村 3室1厅 85.91平米","155","85.91"
"40","石化二村 3室1厅 77.28平米","82","77.28"
"90","新安小区 3室1厅 71.02平米","432","71.02"
"19","龙湖郦城 2室2厅 92.49平米","388","92.49"
"6","芳华苑 2室1厅 58.1平米","307","58.1"
"147","法华门大厦 2室2厅 160.6平米","760","160.6"
"62","新海小区(长宁) 1室1厅 39.23平米","368","39.23"
"102","兆丰花园 2室2厅 139.02平米","792","139.02"
"27","仁恒河滨花园 3室2厅 123.42平米","1150","123.42"
"154","思浦小区 2室0厅 53平米","260","53"
"67","万科四季花城 2室2厅 91.47平米","330","91.47"
"102","氯碱小区 1室1厅 38.63平米","110","38.63"
"18","蔚蓝城市花园 2室2厅 103.83平米","731","103.83"
"13","园艺新村 2室1厅 68.67平米","367","68.67"
"100","虹梅路2669弄 1室1厅 36.9平米","195","36.9"
"58","虹桥晶典苑 3室2厅 158.3平米","855","158.3"
"34","绿海家园 2室2厅 88.76平米","305","88.76"
"85","静安枫景苑 3室2厅 130.63平米","1340","130.63"
"57","金沙雅苑(三期) 3室2厅 116.95平米","760","116.95"
"191","虹田苑 3室2厅 132.3平米","900","132.3"
"9","荡湾新村 3室1厅 61.07平米","137","61.07"
"44","新川苑 1室1厅 65.78平米","220","65.78"
"67","漕溪四村 2室2厅 57.45平米","389","57.45"
"50","大同花园南区 3室2厅 154.68平米","1215","154.68"
"22","泰燕华庭 2室2厅 100.74平米","258","100.74"
"172","龙源星城 1室1厅 44.39平米","67","44.39"
"105","柳博小区(博二小区) 2室1厅 68.89平米","338","68.89"
